"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.454002080E-1,1.087928295E1,3.745244503E0,1.627414703E0,1.162041878E1
7.504368750E-1,1.088886452E1,3.690148115E0,1.229761720E0,1.156273659E1
7.554734370E-1,1.083137226E1,3.591932535E0,7.386842370E-1,1.143530755E1
7.605100520E-1,1.066129208E1,3.567977428E0,3.482177258E-1,1.124788279E1
7.655395310E-1,1.055349445E1,3.532045126E0,-4.703974724E-2,1.112896225E1
7.705761980E-1,1.044090652E1,3.577559471E0,-4.399017394E-1,1.104558619E1
7.756127600E-1,1.023489285E1,3.587141514E0,-7.824582458E-1,1.087349331E1
7.806493750E-1,9.957015038E0,3.644633532E0,-9.956577420E-1,1.064973410E1
7.856859370E-1,9.636017799E0,3.773990393E0,-1.287908792E0,1.042854504E1
7.907225520E-1,9.281484604E0,3.838669062E0,-1.505899310E0,1.015623303E1
7.957630730E-1,8.879039764E0,3.932093620E0,-1.632860780E0,9.847077826E0
8.007996870E-1,8.541275024E0,4.075823784E0,-1.838873744E0,9.640911534E0
8.058363020E-1,8.270583153E0,4.293814182E0,-1.891574740E0,9.508808596E0
8.108728640E-1,8.107689857E0,4.425566673E0,-1.810127735E0,9.412589316E0
8.159094790E-1,7.942399979E0,4.614810944E0,-1.649629235E0,9.332709900E0
8.209460940E-1,7.829811573E0,4.765727520E0,-1.503503799E0,9.288629164E0
8.259859370E-1,7.779506207E0,4.873525143E0,-1.259162784E0,9.265929799E0
8.310225520E-1,7.774714947E0,4.935808182E0,-9.357702732E-1,9.256568528E0
8.360591670E-1,7.875326157E0,5.007673264E0,-6.387282610E-1,9.354438913E0
8.410957810E-1,7.966355324E0,5.057978630E0,-3.895962536E-1,9.444456057E0
8.461323440E-1,8.110084534E0,5.079538345E0,-2.147247493E-1,9.571900943E0
8.511689580E-1,8.316097260E0,5.120261669E0,-1.021362394E-1,9.766523691E0
8.562047390E-1,8.526901245E0,5.062769890E0,-1.350274775E-2,9.916645911E0
8.612413540E-1,8.735310555E0,5.017255306E0,-3.506223857E-2,1.007371484E1
8.662779690E-1,8.960487366E0,5.010068893E0,-1.165092438E-1,1.026667904E1
8.713145310E-1,9.173686981E0,4.998091221E0,-2.003517449E-1,1.044880804E1
8.763511460E-1,9.319811821E0,4.907062054E0,-3.105447590E-1,1.053729512E1
8.813877600E-1,9.449169159E0,4.873525143E0,-5.476992726E-1,1.064603305E1
8.864210940E-1,9.600085258E0,4.830406189E0,-7.537122369E-1,1.077323271E1
8.914577600E-1,9.739025116E0,4.830406189E0,-1.002844214E0,1.091728587E1
8.964943230E-1,9.882754326E0,4.847174644E0,-1.196879745E0,1.107232840E1
9.015309370E-1,1.004085732E1,4.897480011E0,-1.364564776E0,1.125460631E1
9.065675000E-1,1.011511803E1,5.024441719E0,-1.448407292E0,1.138676912E1
9.116041670E-1,1.002648449E1,5.201708794E0,-1.527458787E0,1.139830233E1
9.166203120E-1,9.875568390E0,5.290342331E0,-1.596928239E0,1.131656983E1
9.216569270E-1,9.710278511E0,5.347834110E0,-1.649629235E0,1.120759185E1
9.266935420E-1,9.516242981E0,5.414908409E0,-1.642442703E0,1.107148281E1
9.317301560E-1,9.362931252E0,5.410117149E0,-1.563391209E0,1.092602587E1
9.367667710E-1,9.231178284E0,5.436467648E0,-1.529854298E0,1.082175065E1
9.418033850E-1,9.140150070E0,5.460422516E0,-1.462780237E0,1.074701277E1
9.468661980E-1,9.085053444E0,5.553847313E0,-1.436429739E0,1.074461477E1
9.519028120E-1,8.994024277E0,5.592175484E0,-1.402892709E0,1.068330507E1
9.569394270E-1,8.931740761E0,5.623316765E0,-1.345400810E0,1.063991484E1
9.619760420E-1,8.895808220E0,5.719136715E0,-1.213648200E0,1.064503972E1
9.670126040E-1,8.723332405E0,5.889217377E0,-1.048358679E0,1.057726172E1
9.720492190E-1,8.433477402E0,6.008992195E0,-8.686962724E-1,1.039163902E1
9.770524480E-1,8.143621445E0,6.102416515E0,-8.064132333E-1,1.020824960E1
9.820890620E-1,7.913654327E0,6.188654900E0,-8.255772591E-1,1.008002739E1
9.871256770E-1,7.681290627E0,6.231773853E0,-8.567187786E-1,9.928302882E0
9.921622920E-1,7.520792007E0,6.258124352E0,-8.782782555E-1,9.823329655E0
9.971988540E-1,7.472882271E0,6.250937939E0,-9.645162821E-1,9.790224012E0
1.002235469E0,7.429763317E0,6.291661263E0,-1.062731743E0,9.793660355E0
1.007274271E0,7.408203602E0,6.303638935E0,-1.199275255E0,9.800796170E0
1.012310833E0,7.420181274E0,6.346757889E0,-1.184902191E0,9.835874087E0
1.017347396E0,7.468091011E0,6.476114750E0,-1.165738225E0,9.953461268E0
1.022383958E0,7.523187637E0,6.679732323E0,-1.084291220E0,1.011893589E1
1.027420521E0,7.348316193E0,6.897722721E0,-1.014821768E0,1.012947150E1
1.032457083E0,7.048878670E0,7.103735924E0,-8.854647875E-1,1.004658163E1
1.037509271E0,6.830888271E0,7.281002522E0,-7.321527600E-1,1.001049849E1
1.042545885E0,6.663203239E0,7.412755013E0,-5.285352468E-1,9.981310725E0
1.047582396E0,6.567383289E0,7.592417717E0,-2.362842411E-1,1.004147202E1
1.052618958E0,6.351788044E0,7.781662464E0,3.201176226E-2,1.004492443E1
1.057655521E0,6.037977695E0,7.927787781E0,2.667707503E-1,9.968859533E0
1.062692083E0,5.712189674E0,8.064331055E0,3.793592453E-1,9.889714843E0
1.067718333E0,5.515758514E0,8.097867966E0,4.584107399E-1,9.808628752E0
1.072754948E0,5.400774479E0,8.030794144E0,3.913367391E-1,9.685822835E0
1.077791510E0,5.280999660E0,7.982884407E0,2.188607603E-1,9.574095305E0
1.082828073E0,5.209134579E0,7.973302364E0,-6.620374322E-2,9.524338118E0
1.087864583E0,5.192366123E0,8.033189774E0,-3.464772403E-1,9.571460201E0
1.092901146E0,5.209134579E0,8.184105873E0,-6.483102441E-1,9.722909964E0
1.097966979E0,5.060613632E0,8.378141403E0,-9.261882305E-1,9.831626943E0
1.103003542E0,4.787526608E0,8.536244392E0,-1.223230243E0,9.863273877E0
1.108040104E0,4.538394451E0,8.651228905E0,-1.412474751E0,9.870960981E0
1.113076614E0,4.224584103E0,8.703929901E0,-1.623278737E0,9.810226319E0
1.118113177E0,3.973056555E0,8.737466812E0,-1.872410774E0,9.779285597E0
1.123149739E0,3.790998697E0,8.699138641E0,-2.174243689E0,9.735194905E0
1.128185208E0,3.623313665E0,8.665601730E0,-2.432957649E0,9.702594405E0
1.133221771E0,3.402927637E0,8.636855125E0,-2.739581823E0,9.678868298E0
1.138258333E0,3.240033627E0,8.584154129E0,-3.175562859E0,9.709259471E0
1.143294896E0,3.091512680E0,8.572176933E0,-3.539678812E0,9.775939552E0
1.148331406E0,2.978924036E0,8.557804108E0,-3.824743271E0,9.835581358E0
1.153368021E0,2.825612068E0,8.550617218E0,-3.973264217E0,9.842965351E0
1.158449792E0,2.657927036E0,8.531453133E0,-4.088248253E0,9.826700487E0
1.163486354E0,2.495033026E0,8.476357460E0,-4.152926445E0,9.763228137E0
1.168522917E0,2.420772552E0,8.464379311E0,-4.131367207E0,9.724919118E0
1.173559479E0,2.219550610E0,8.459588051E0,-4.112203121E0,9.664432182E0
1.178595989E0,2.013537645E0,8.402096748E0,-4.042733669E0,9.539038690E0
1.183632604E0,1.869807482E0,8.356581688E0,-3.956495762E0,9.433053389E0
1.188644687E0,1.776383042E0,8.255970955E0,-3.973264217E0,9.332921389E0
1.193681302E0,1.797942519E0,8.109845161E0,-4.042733669E0,9.238283464E0
1.198717864E0,1.905740023E0,8.026002884E0,-4.205627441E0,9.259366582E0
1.203754375E0,2.059051991E0,7.978093147E0,-4.306238651E0,9.296954162E0
1.208790937E0,2.111753225E0,7.987675190E0,-4.315820694E0,9.321414318E0
1.213827500E0,2.118939638E0,8.023607254E0,-4.272701740E0,9.334032286E0
1.218848542E0,2.003955603E0,8.109845161E0,-4.078666210E0,9.296286606E0
1.223885104E0,1.783569455E0,8.229620934E0,-3.738505363E0,9.213262346E0
1.228921667E0,1.503296018E0,8.356581688E0,-3.388762236E0,9.141994635E0
1.233958229E0,1.302073956E0,8.469170570E0,-3.048601151E0,9.094845557E0
1.238994792E0,1.091270089E0,8.529058456E0,-2.732395172E0,9.022288620E0
