"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.203848177E0,2.097260207E-1,1.256440729E-1,9.932613373E0,9.935621765E0
1.208885260E0,1.785845160E-1,9.689807147E-2,9.906263351E0,9.908346747E0
1.213915729E0,2.217035294E-1,1.088755652E-1,9.908658981E0,9.911736939E0
1.218952812E0,2.217035294E-1,6.815206259E-2,9.932613373E0,9.935321111E0
1.223989843E0,2.097260207E-1,5.377905443E-2,9.930217743E0,9.932577793E0
1.229026875E0,1.881665289E-1,8.971153945E-2,9.911054611E0,9.913246608E0
1.234063958E0,1.929575205E-1,4.180156067E-2,9.930217743E0,9.932180244E0
1.239100989E0,2.145170271E-1,8.731608838E-2,9.884703636E0,9.887416631E0
1.244155416E0,2.312855273E-1,6.336104125E-2,9.908658981E0,9.911560443E0
1.249192448E0,1.977485269E-1,4.419707134E-2,9.925427437E0,9.927495538E0
1.254229531E0,2.217035294E-1,7.294308394E-2,9.913449287E0,9.916196343E0
1.259266510E0,1.953530163E-1,6.575655192E-2,9.877516747E0,9.879667191E0
1.264303593E0,1.929575205E-1,5.377905443E-2,9.911054611E0,9.913078649E0
1.269340677E0,1.929575205E-1,5.138354376E-2,9.932613373E0,9.934620339E0
1.274385000E0,1.929575205E-1,7.054757327E-2,9.915844917E0,9.917973079E0
1.279422031E0,1.929575205E-1,1.136665866E-1,9.901472092E0,9.904004356E0
1.284459062E0,1.905620247E-1,9.929358214E-2,9.901472092E0,9.903803445E0
1.289496145E0,2.145170271E-1,6.096558645E-2,9.918240547E0,9.920747447E0
1.294533177E0,1.881665289E-1,5.857007578E-2,9.882308006E0,9.884272792E0
1.299570208E0,1.977485269E-1,8.731608838E-2,9.903867722E0,9.906226548E0
1.304578593E0,1.905620247E-1,8.971153945E-2,9.901472092E0,9.903712013E0
1.309615677E0,1.809800267E-1,1.040845439E-1,9.884703636E0,9.886908179E0
