"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.501014219E0,-3.304472446E0,-5.053426743E0,4.231323242E0,7.372974730E0
1.506051146E0,-3.108041286E0,-4.557558060E0,2.856306314E0,6.212064220E0
1.511088125E0,-2.892446280E0,-4.164696217E0,1.814263821E0,5.385396296E0
1.516125052E0,-2.736738920E0,-3.968265295E0,1.069263220E0,4.937630323E0
1.521123334E0,-2.712783813E0,-3.980242968E0,5.542307496E-1,4.848577299E0
1.526160261E0,-3.005034924E0,-4.150323391E0,1.086677462E-1,5.125156370E0
1.531197240E0,-3.522462845E0,-4.600677013E0,-3.057537377E-1,5.802366657E0
1.536234167E0,-4.063846111E0,-5.151642323E0,-5.069757700E-1,6.581131230E0
1.541271146E0,-4.404006958E0,-5.762494564E0,-4.255287647E-1,7.265170034E0
1.546308125E0,-4.408797741E0,-6.366160870E0,-1.452552527E-1,7.745101731E0
1.551363073E0,-4.166852474E0,-6.902752876E0,1.517867595E-1,8.064347217E0
1.556400000E0,-3.735662460E0,-7.321965694E0,5.350667238E-1,8.237272124E0
1.561436979E0,-3.484134912E0,-7.798669338E0,9.686522484E-1,8.596320533E0
1.566473907E0,-3.393105984E0,-8.237047195E0,1.457334280E0,9.026956182E0
1.571510886E0,-3.237398386E0,-8.656259537E0,1.898106337E0,9.434743512E0
1.576547813E0,-3.134391785E0,-9.116195679E0,2.384392738E0,9.930496677E0
